"nombre","nombre_cientifico","descripcion"
"Romero","Rosmarinus officinalis (Salvia rosmarinus)","Arbusto aromático perenne de origen mediterráneo, muy usado en cocina, aromaterapia y jardinería ornamental/xerófita. Hojas estrechas verde oscuro, muy fragantes, y pequeñas flores azul-violáceas que atraen abejas, principalmente en primavera aunque puede florecer casi todo el año en climas templados. Alcanza 0,5-1,5 m según variedad (erecta o rastrera). Requiere sol pleno, suelo bien drenado y pobre en nutrientes; muy resistente a la sequía una vez establecido, tolera poda para setos bajos aromáticos."
"Laurel de cocina","Laurus nobilis","Árbol o arbusto de hoja perenne, originario del Mediterráneo, cultivado tanto como ornamental (setos, topiarios) como por sus hojas aromáticas usadas en gastronomía. Follaje verde oscuro brillante, muy denso; puede alcanzar 5-10 m si se deja crecer libre, o mantenerse compacto con poda. Prefiere sol pleno o media sombra, suelo bien drenado; tolera bien la poda en formas geométricas. Resistente a sequía moderada, sensible a heladas muy intensas y prolongadas cuando es joven."
"Leptospermum rojo","Leptospermum scoparium (var. flor roja)","Arbusto de hoja perenne originario de Nueva Zelanda/Australia, conocido como 'árbol de té', apreciado por su abundante floración de pequeñas flores rojas o rojo-rosadas tipo estrella que cubren toda la planta en primavera-verano. Follaje fino, aromático al frotarlo. Altura 1,5-3 m. Requiere sol pleno, suelo bien drenado (tolera suelos pobres y algo ácidos), riego moderado; sensible al exceso de humedad en raíces. Muy usado en setos floridos, macizos y como planta melífera."
"Leptospermum blanco","Leptospermum scoparium (var. flor blanca)","Arbusto perenne de origen australiano/neozelandés, variedad de flor blanca del 'árbol de té', con floración masiva de pequeñas flores estrelladas en primavera. Follaje fino y aromático, porte de 1,5-3 m. Prefiere sol pleno, suelo bien drenado, tolera suelos pobres y algo salinos; riego moderado, sensible a encharcamiento. Ideal para setos, macizos costeros y jardines de bajo mantenimiento; muy atractivo para polinizadores."
"Jazmín","Jasminum spp.","Arbusto trepador o semi-trepador de hoja perenne o caducifolia según especie, muy valorado por sus flores blancas o amarillas de intenso perfume, principalmente en primavera-verano (algunas especies florecen en invierno). Requiere estructura de apoyo si es trepador; crece rápido y puede alcanzar varios metros. Prefiere sol pleno o media sombra, suelo fértil y bien drenado, riego regular. Usado en pérgolas, muros, cercos y como planta aromática cerca de terrazas y accesos."
"Hortensia Burdeos","Hydrangea macrophylla (tonos burdeos/vino)","Arbusto caducifolio de flores globosas muy vistosas en tonos burdeos, vino o rosado oscuro (el color puede variar según el pH del suelo), floreciendo en verano. Altura 1-1,5 m, follaje verde grande y ancho. Prefiere media sombra (sol de mañana, sombra en horas de más calor), suelo húmedo y rico en materia orgánica; requiere riego frecuente, sensible a la sequía. Ideal para jardines de sombra parcial, bordes y macizos; suelos más ácidos intensifican tonos azulados y más alcalinos los rosados/burdeos."
"Hortensia azul","Hydrangea macrophylla (var. flor azul)","Arbusto caducifolio de floración veraniega, con grandes inflorescencias globosas de color azul intenso, tono que se logra y mantiene con suelos ácidos (pH bajo, presencia de aluminio disponible). Altura 1-1,5 m, hojas grandes verde brillante. Necesita media sombra, suelo húmedo y bien drenado, riego regular y abundante en verano. Muy popular en jardines de sombra y como planta de exterior en macetas grandes; se le aplican productos acidificantes o sulfato de aluminio para intensificar el azul."
"Grevillea","Grevillea spp.","Arbusto o pequeño árbol de hoja perenne originario de Australia, cultivado por su llamativa floración de forma tubular o tipo 'araña' en tonos rojo, naranja o amarillo, muy atractiva para picaflores/colibríes. Follaje fino y variable según especie. Tamaño de 1 a varios metros dependiendo de la variedad. Requiere sol pleno, suelo bien drenado y de baja fertilidad (sensible al exceso de fósforo); tolera bien la sequía una vez establecida. Ideal para jardines xerófitos y atraer fauna polinizadora."
"Fucsia","Fuchsia hybrida","Arbusto de hoja caduca o semiperenne, muy apreciado por sus flores colgantes bicolores (combinaciones de rosado, morado, blanco, rojo) que florecen desde primavera hasta otoño. Altura variable, 0,5-1,5 m según variedad, algunas de porte colgante ideales para maceteros. Prefiere media sombra o sombra parcial, protegida de sol directo intenso; suelo húmedo, fértil y bien drenado, riego frecuente. Muy popular en balcones, patios sombreados y como planta de temporada por su floración prolongada."
"Ellwoodii","Chamaecyparis lawsoniana 'Ellwoodii'","Conífera de hoja perenne de crecimiento lento y porte cónico-columnar compacto, follaje azul-verdoso plumoso y suave al tacto. Alcanza entre 1,5-3 m en jardín (más en su hábitat natural con los años). Prefiere sol pleno o media sombra, suelo bien drenado y fresco, riego regular sin encharcar. Muy usada como ejemplar aislado, en grupos o setos formales por su textura y color distintivo; tolera bien la poda de formación."
"Erica","Erica spp.","Arbusto pequeño de hoja perenne tipo brezo, de follaje fino tipo aguja y abundante floración de pequeñas flores en forma de campana en tonos rosado, blanco, morado o rojo, según especie y época (algunas florecen en invierno, otras en verano). Altura 0,3-0,8 m. Requiere suelo ácido, bien drenado, sol pleno o media sombra; sensible a suelos calcáreos. Ideal para rocallas, bordes bajos, macizos de acidófilas y como cubresuelos ornamental."
"Dafne","Daphne spp.","Arbusto de hoja perenne o caducifolia, muy valorado por sus flores pequeñas pero extremadamente fragantes, en tonos blanco, rosado o púrpura, que aparecen en invierno-primavera según especie. Porte compacto, 0,5-1,2 m. Prefiere media sombra, suelo bien drenado, fresco y rico en materia orgánica; sensible al exceso de humedad en raíces y a los trasplantes. Ideal cerca de accesos y ventanas por su perfume. Nota: todas sus partes son tóxicas si se ingieren."
"Cedrón","Aloysia citrodora","Arbusto aromático de hoja caduca, originario de Sudamérica, muy usado para infusiones digestivas y relajantes por su intenso aroma a limón. Hojas alargadas verde claro, flores pequeñas blanquecinas o lilas en verano. Altura 1-2 m. Requiere sol pleno, suelo bien drenado, riego moderado; sensible a heladas fuertes (pierde hojas en invierno y puede rebrotar en primavera). Se cultiva en huertos aromáticos, jardines de hierbas y macetas."
"Camelia","Camellia japonica","Arbusto de hoja perenne, muy apreciado por sus grandes flores dobles o sencillas en tonos rojo, rosado, blanco o combinados, que florecen en invierno-primavera. Follaje verde oscuro brillante y denso. Altura 1,5-3 m, crecimiento lento a moderado. Requiere suelo ácido, húmedo, rico en materia orgánica y bien drenado; media sombra, protegida de sol directo fuerte y viento. Ideal para jardines de estilo japonés, setos ornamentales de sombra y ejemplares aislados de gran valor decorativo."
"Boj variegata","Buxus sempervirens 'Variegata'","Arbusto de hoja perenne de crecimiento lento, variedad de boj con hojas pequeñas bordeadas de blanco-crema, muy decorativo y usado en topiaria y setos formales. Altura hasta 1-2 m si no se poda, se mantiene compacto con podas regulares. Prefiere sol pleno o media sombra, suelo bien drenado; tolera bien la poda intensa y el modelado en formas geométricas. Ideal para bordes de jardín, parterres y arte topiario."
"Boj verde","Buxus sempervirens","Arbusto clásico de hoja perenne, muy usado en jardinería ornamental por su follaje denso verde oscuro y su excelente tolerancia a la poda, permitiendo formar setos bajos, bordes geométricos y figuras de topiaria. Crecimiento lento, altura hasta 2-3 m sin poda. Prefiere sol pleno o media sombra, suelo bien drenado; riego moderado. Muy resistente y longevo, clásico de jardines formales tipo francés o inglés."
"Berberis","Berberis thunbergii","Arbusto caducifolio (o semiperenne según variedad), apreciado por su follaje colorido (verde, púrpura o dorado según variedad) y sus pequeñas flores amarillas en primavera seguidas de bayas rojas decorativas en otoño-invierno. Ramas espinosas, útil como seto defensivo. Altura 0,5-1,5 m. Prefiere sol pleno para mejor color de follaje, tolera media sombra; suelo bien drenado, resistente a sequía moderada. Muy usado en setos bajos, bordes de color y jardines de bajo mantenimiento."
"Acer japonés","Acer palmatum","Pequeño árbol o arbusto caducifolio ornamental, originario de Japón, muy valorado por sus hojas lobuladas finamente recortadas que cambian de color según la estación, con espectacular colorido rojo, naranja o dorado en otoño. Altura 2-6 m según variedad, crecimiento lento. Prefiere media sombra o sol filtrado, protegido de viento y sol fuerte del mediodía; suelo fresco, bien drenado y rico en materia orgánica. Ideal como ejemplar destacado en jardines de estilo japonés."
"Aucuba","Aucuba japonica","Arbusto de hoja perenne muy tolerante a la sombra densa, con hojas grandes verde oscuro brillante (variedades moteadas en amarillo también comunes). Produce pequeñas flores poco vistosas y, en plantas femeninas polinizadas, bayas rojas decorativas en otoño-invierno. Altura 1-2 m. Prefiere sombra o media sombra (se quema con sol directo intenso), suelo bien drenado, riego moderado. Muy usada para iluminar rincones sombríos del jardín y como seto bajo de bajo mantenimiento."
"Azalea","Rhododendron spp. (grupo azalea)","Arbusto de hoja perenne o caducifolia, pariente cercano del rododendro pero de porte más pequeño y floración aún más abundante, cubriendo la planta de flores en tonos rosado, rojo, blanco, salmón o púrpura en primavera. Altura 0,5-1,5 m. Requiere suelo ácido, húmedo y bien drenado; media sombra, protegida de sol directo del mediodía. Ideal para macizos de sombra parcial, bordes y jardines de estilo japonés; muy popular como planta de floración masiva de temporada."
"Abelia","Abelia x grandiflora","Arbusto semiperenne de crecimiento vigoroso, follaje pequeño brillante que en otoño toma tonos cobrizos, y floración abundante y prolongada (verano-otoño) de pequeñas flores tubulares blanco-rosadas muy melíferas. Altura 1-2 m, ramas arqueadas. Prefiere sol pleno o media sombra, suelo bien drenado; tolera bien la poda y la contaminación urbana. Muy usada en setos informales, macizos y como planta atractiva para abejas y mariposas por su larga floración."
"Corcolen Microphila","Azara microphylla","Arbusto o pequeño árbol de hoja perenne, nativo de Chile y Argentina, de follaje fino y denso, muy conocido por sus diminutas flores amarillas de fragancia a vainilla/chocolate que aparecen a fines de invierno-inicio de primavera, antes de que abran las hojas nuevas. Altura 2-4 m. Prefiere media sombra, suelo fresco y bien drenado, protegido de heladas fuertes cuando joven. Usado como ornamental por su aroma y también en setos y bosques de sombra."
"Boldo","Peumus boldus","Árbol o arbusto de hoja perenne, endémico de Chile, muy conocido por su uso medicinal tradicional en infusiones digestivas y hepáticas a partir de sus hojas aromáticas. Hojas coriáceas verde oscuro, ásperas al tacto; flores pequeñas amarillentas y frutos comestibles (boldos) que maduran en verano. Altura 4-10 m en estado silvestre, más compacto cultivado. Prefiere sol pleno o media sombra, tolera sequía una vez establecido, suelo bien drenado. Se cultiva como ornamental, medicinal y para sombra."
"Corcolen Lanceolata","Azara lanceolata","Arbusto o pequeño árbol de hoja perenne, nativo de Chile, de hojas más alargadas (lanceoladas) que otras especies de Azara, con pequeñas flores amarillas fragantes en primavera. Altura 2-5 m. Prefiere media sombra o sol filtrado, suelo fresco y bien drenado, buena tolerancia al frío moderado. Usado en jardinería nativa, bordes de bosque y como especie melífera atractiva para insectos polinizadores."
"Campanilla","Convolvulus spp. / Nolana spp.","Planta de flores en forma de campana o embudo, hábito rastrero o trepador según especie, usada como cubresuelo o para cubrir cercos y muros. Floración abundante en tonos blanco, azul o lila, principalmente en primavera-verano. Prefiere sol pleno, suelo bien drenado, riego moderado; buena tolerancia a la sequía en especies de origen costero/mediterráneo. Ideal para taludes, jardineras colgantes y zonas de bajo mantenimiento."
"Mata verde / Fachine","Baccharis spp.","Arbusto nativo de la Patagonia y zonas semiáridas de Chile, de follaje persistente verde grisáceo, muy resistente a condiciones extremas de viento, sequía y suelos pobres. Flores pequeñas, poco vistosas, en cabezuelas. Altura 0,5-1,5 m. Se usa principalmente en restauración de suelos, cortinas cortaviento y jardinería de bajo mantenimiento en climas áridos o fríos; requiere sol pleno y prácticamente ningún cuidado especial una vez establecido."
"Mata negra","Chuquiraga spp. / Junellia spp.","Arbusto nativo de zonas áridas patagónicas, de porte bajo y denso, adaptado a condiciones extremas de viento, frío y escasez de agua. Follaje oscuro y compacto, floración discreta. Altura 0,3-0,8 m. Ideal para jardines de bajo mantenimiento en climas fríos y secos, restauración de suelos degradados y como cortina de protección en zonas expuestas; requiere sol pleno y suelo muy bien drenado."
"Ciprés de las Guaitecas","Pilgerodendron uviferum","Conífera de hoja perenne, endémica de los bosques húmedos del sur de Chile y Argentina (la conífera más austral del mundo), de crecimiento muy lento y madera muy durable, tradicionalmente usada en construcción rural. Porte columnar denso, puede alcanzar 15-20 m en estado silvestre. Prefiere suelos húmedos, ácidos, ambientes fríos y lluviosos, tolera anegamiento estacional. Se usa en reforestación, paisajismo de climas fríos y como ejemplar ornamental en jardines húmedos."
"Neneo macho / Guanaco bush","Mulinum spinosum","Arbusto nativo de la estepa patagónica, muy resistente al frío, viento y sequía extrema. Follaje espinoso, denso y de color verde grisáceo, con pequeñas flores amarillas en verano. Altura 0,3-1 m, forma de cojín o almohadilla. Se usa en jardinería de estepa/xerófita, restauración de suelos degradados y como cortina protectora en climas patagónicos; requiere sol pleno y suelo muy bien drenado, prácticamente sin riego una vez establecido."
"Paramela","Adesmia boronioides","Arbusto aromático nativo de la Patagonia, tradicionalmente usado en infusiones medicinales digestivas y antiinflamatorias. Follaje fino, resinoso y muy perfumado, flores amarillas pequeñas en verano. Altura 0,5-1,5 m. Muy resistente al frío, viento y suelos pobres; prefiere sol pleno y buen drenaje. Se cultiva en huertos de plantas medicinales nativas y jardines de bajo mantenimiento en climas fríos."
"Mañío de hoja larga","Podocarpus salignus","Conífera de hoja perenne, endémica de Chile, con hojas largas y colgantes (a diferencia de otras podocarpáceas de hoja corta), de porte elegante y follaje verde brillante. Crecimiento lento a moderado, puede alcanzar 15-20 m en estado adulto, más compacto en cultivo. Prefiere media sombra o sol filtrado, suelo húmedo, fresco y bien drenado; buena tolerancia al frío. Muy valorado como ornamental por su follaje colgante distintivo, usado en jardines y como ejemplar aislado."
"Fachine","Chiliotrichum diffusum","Arbusto nativo de la Patagonia y zonas australes de Chile, de follaje perenne gris-verdoso y abundante floración de pequeñas flores blancas tipo margarita en verano. Altura 0,5-1,5 m, muy ramificado. Extremadamente resistente al viento, frío y suelos pobres; requiere sol pleno y buen drenaje. Se usa en restauración de ecosistemas patagónicos, cortinas cortaviento y jardinería nativa de bajo mantenimiento."
"Maqui","Aristotelia chilensis","Arbusto o pequeño árbol de hoja perenne (semi-caduco en algunas zonas), nativo de Chile, muy conocido por sus pequeños frutos negro-morados de alto valor antioxidante, usados en gastronomía y medicina tradicional. Flores blanquecinas pequeñas en primavera. Altura 3-5 m, crecimiento rápido. Prefiere sol pleno o media sombra, suelo húmedo y bien drenado, buena tolerancia al frío. Se cultiva como ornamental, frutal nativo y en proyectos de reforestación por su rápido establecimiento."
"Lingue","Persea lingue","Árbol de hoja perenne, nativo del centro-sur de Chile, de la familia de las lauráceas (emparentado con el palto). Copa densa y follaje verde oscuro brillante, madera históricamente valorada en carpintería y su corteza usada en curtiembre tradicional. Altura 15-25 m en estado silvestre. Prefiere suelos húmedos y fértiles, sol pleno o media sombra, buena tolerancia al frío moderado. Se usa como árbol de sombra, ornamental y en reforestación de bosque nativo."
"Chaura","Gaultheria mucronata (pumila)","Arbusto bajo de hoja perenne, nativo del sur de Chile y Argentina, muy apreciado por sus frutos decorativos en forma de baya de colores llamativos (blanco, rosado, rojo o morado) que persisten gran parte del invierno. Flores pequeñas tipo campana en primavera. Altura 0,3-0,8 m. Prefiere suelo ácido, húmedo y bien drenado, sol pleno o media sombra; buena tolerancia al frío. Ideal para rocallas, bordes y jardines nativos por su colorido otoño-invierno."
"Quila","Chusquea quila","Bambú nativo de Chile, de crecimiento denso y vigoroso, muy común en el sotobosque de bosques húmedos del centro-sur del país. Cañas macizas, flexibles, tradicionalmente usadas en construcción rural y artesanía. Altura 3-6 m, forma matas muy tupidas. Prefiere suelos húmedos, media sombra, buena tolerancia al frío; puede ser invasivo si no se controla su expansión. Se usa en jardines naturalizados, cortinas vegetales densas y control de erosión en laderas."
"Calafate / Michay","Berberis microphylla","Arbusto nativo de la Patagonia chilena y argentina, muy resistente al frío y viento, con flores amarillas en primavera y frutos azul-morado comestibles (calafate) muy apreciados en mermeladas y repostería según la tradición popular ('quien come calafate, vuelve a la Patagonia'). Ramas espinosas, follaje pequeño perenne. Altura 1-2 m. Prefiere sol pleno, suelo bien drenado, tolera suelos pobres y climas extremos. Usado como seto defensivo, ornamental y frutal nativo."
"Colihue","Chusquea culeou","Bambú nativo de los bosques templados del sur de Chile y Argentina, de cañas sólidas más gruesas que la quila, tradicionalmente usado en construcción, cercos y artesanía mapuche. Crece en matas densas de 4-8 m de altura. Prefiere suelos húmedos y fértiles, media sombra, buena tolerancia al frío. Se usa en jardines naturalizados de gran escala, pantallas vegetales y proyectos de paisajismo de bosque nativo."
"Nalca / Pangue","Gunnera tinctoria","Planta herbácea perenne gigante, nativa del sur de Chile, de hojas enormes (hasta 1-2 m de diámetro) con pecíolos comestibles tradicionalmente consumidos en la gastronomía chilena. Crece en suelos muy húmedos, orillas de esteros y zonas anegadas, requiere sombra parcial o sol con riego abundante y constante. Muy usada como planta ornamental de gran impacto visual en jardines húmedos, junto a estanques o cursos de agua."
"Pitra","Myrceugenia exsucca","Árbol o arbusto de hoja perenne, nativo de Chile, típico de riberas de ríos y zonas húmedas (bosque higrófilo). Follaje pequeño verde oscuro, flores blancas pequeñas en verano. Altura 5-10 m. Muy tolerante a suelos anegados o con mal drenaje, prefiere sol pleno o media sombra. Se usa en restauración de riberas, control de erosión en zonas húmedas y como ornamental en jardines con presencia de agua."
"Ciprés de la cordillera","Austrocedrus chilensis","Conífera de hoja perenne, endémica de la zona andina de Chile y Argentina, de porte piramidal a columnar y follaje verde-amarillento en escamas. Madera muy resistente y aromática, tradicionalmente usada en construcción. Altura 10-20 m, crecimiento lento. Muy resistente a la sequía y suelos rocosos y pobres, prefiere sol pleno. Ideal como ejemplar ornamental, cortina cortaviento en climas de precordillera y proyectos de reforestación en zonas semiáridas."
"Melí","Amomyrtus meli","Árbol de hoja perenne, nativo del bosque valdiviano del sur de Chile, de la familia de las mirtáceas. Follaje aromático verde oscuro, flores blancas pequeñas en verano y frutos pequeños oscuros. Altura 10-20 m. Prefiere suelos húmedos y fértiles, media sombra, buena tolerancia al frío. Se usa como árbol de sombra y ornamental en jardines de bosque nativo y proyectos de reforestación del sur de Chile."
"Coigüe de Magallanes","Nothofagus betuloides","Árbol de hoja perenne (a diferencia de otros Nothofagus caducifolios), nativo del extremo sur de Chile y Argentina (Patagonia y Tierra del Fuego), muy resistente al frío extremo y viento. Follaje pequeño verde oscuro brillante. Altura 15-25 m en su hábitat. Prefiere suelos húmedos, sol pleno o media sombra, tolera climas muy fríos y ventosos. Se usa en reforestación patagónica, cortinas cortaviento y como ornamental en climas australes."
"Patagua","Crinodendron patagua","Árbol de hoja perenne, nativo de Chile central, muy apreciado por su abundante floración de flores blancas en forma de campana colgante en verano, muy atractivas para polinizadores. Follaje verde oscuro brillante. Altura 8-15 m. Prefiere suelos húmedos (crece naturalmente cerca de cursos de agua), sol pleno o media sombra, buena tolerancia al frío moderado. Se usa como ornamental de sombra, cerca de estanques y en proyectos de paisajismo por su floración vistosa."
"Chilco","Fuchsia magellanica","Arbusto nativo del sur de Chile y Argentina, de floración muy prolongada (primavera a otoño) con flores colgantes rojo-moradas muy atractivas para picaflores. Follaje caducifolio o semi-perenne según clima. Altura 1-3 m. Prefiere media sombra, suelo húmedo y bien drenado, buena tolerancia al frío. Muy usado en jardines nativos, bordes de bosque y como planta melífera/atractora de fauna nativa, especialmente picaflores."
"Raulí","Nothofagus alpina","Árbol caducifolio de gran porte, nativo de los bosques templados del sur de Chile y Argentina, muy valorado por su madera de calidad para carpintería y mueblería. Follaje verde claro que toma tonos dorados en otoño. Altura 30-40 m en estado silvestre. Prefiere suelos profundos y fértiles, sol pleno, clima templado-frío con buena precipitación. Se usa en reforestación, silvicultura y como árbol ornamental de gran porte en parques amplios."
"Alerce","Fitzroya cupressoides","Conífera de hoja perenne, endémica del sur de Chile y Argentina, una de las especies arbóreas más longevas del mundo (puede vivir varios miles de años) y especie protegida por su valor de conservación. Porte columnar imponente, madera muy durable históricamente muy explotada. Altura hasta 40-50 m en estado silvestre, crecimiento extremadamente lento. Prefiere suelos húmedos, ácidos, clima frío y lluvioso. Su uso comercial está restringido por ley; se cultiva principalmente con fines de conservación y reforestación."
"Lenga","Nothofagus pumilio","Árbol caducifolio nativo de los bosques australes de Chile y Argentina (Patagonia), capaz de crecer hasta el límite altitudinal de la vegetación arbórea. Follaje que toma tonos rojizo-dorados espectaculares en otoño. Altura 15-30 m según altitud y condiciones. Muy resistente al frío extremo, viento y nieve; prefiere suelos bien drenados y sol pleno. Se usa en silvicultura, reforestación patagónica y como árbol ornamental de gran valor otoñal en climas fríos."
"Araucaria / Pehuén","Araucaria araucana","Conífera de hoja perenne, endémica de Chile y Argentina, árbol sagrado para el pueblo mapuche-pehuenche, de aspecto muy distintivo con ramas dispuestas en verticilos y hojas rígidas y punzantes tipo escama. Produce piñones comestibles. Crecimiento muy lento, puede superar los 40-50 m y vivir más de 1000 años. Prefiere sol pleno, suelo bien drenado, muy resistente al frío. Se cultiva como ejemplar ornamental de gran valor patrimonial y en proyectos de conservación."
"Roble","Nothofagus obliqua","Árbol caducifolio nativo de Chile central y sur, de gran importancia forestal por su madera de calidad. Follaje verde que toma tonos amarillo-cobrizos en otoño. Altura 25-40 m, crecimiento relativamente rápido para un Nothofagus. Prefiere suelos profundos y fértiles, sol pleno, buena tolerancia al frío. Se usa ampliamente en reforestación, silvicultura comercial y como árbol de sombra y ornamental en parques grandes."
"Coigüe / Coihue","Nothofagus dombeyi","Árbol de hoja perenne, nativo de los bosques templados del sur de Chile y Argentina, de crecimiento rápido y gran porte, uno de los Nothofagus más comunes del bosque valdiviano. Follaje pequeño verde oscuro brillante todo el año. Altura 30-45 m. Prefiere suelos húmedos y fértiles, sol pleno o media sombra, buena tolerancia al frío. Se usa en reforestación, silvicultura y como árbol de sombra de rápido crecimiento en parques y jardines grandes."
"Avellano chileno","Gevuina avellana","Árbol o arbusto de hoja perenne, nativo de Chile, conocido por sus frutos comestibles similares a la avellana europea, ricos en aceite. Follaje grande, brillante y decorativo, con hojas jóvenes de color rojizo muy vistoso. Altura 5-15 m. Prefiere media sombra, suelo húmedo y fértil, buena tolerancia al frío moderado. Se cultiva como ornamental por su follaje atractivo y como frutal nativo de creciente interés comercial."
"Luma","Luma apiculata","Árbol o arbusto de hoja perenne, nativo de Chile y Argentina, muy valorado en jardinería por su llamativa corteza lisa de color canela-anaranjado que se desprende en placas, y su denso follaje verde oscuro. Flores blancas pequeñas en verano y frutos oscuros comestibles. Altura 5-15 m, tolera bien la poda y formación de setos. Prefiere media sombra, suelo húmedo y bien drenado. Muy usada como ornamental, seto y ejemplar aislado por su corteza decorativa."
"Arrayán","Luma chequen (o Myrceugenia)","Árbol o arbusto de hoja perenne, nativo del centro-sur de Chile, muy asociado a orillas de ríos y lagos, famoso por sus bosques puros de corteza rojiza y lisa muy fotogénica (como en el Parque Nacional Los Arrayanes). Follaje pequeño aromático, flores blancas en verano. Altura 5-15 m. Prefiere suelos húmedos, media sombra o sol filtrado. Se usa como ornamental cerca de cuerpos de agua y en jardines nativos por su corteza distintiva."
"Murta / Murtilla","Ugni molinae","Arbusto de hoja perenne, nativo de Chile, muy conocido por sus pequeños frutos rojos aromáticos y dulces (murtilla), usados en mermeladas, licores y repostería tradicional chilena. Flores blancas o rosadas colgantes en primavera-verano. Altura 0,5-1,5 m, crecimiento lento. Prefiere sol pleno o media sombra, suelo bien drenado, buena tolerancia al frío moderado. Se cultiva como frutal nativo, ornamental y en setos bajos comestibles."
